BaseId,Source,SourceId,Roadway,Direction,Location,Latitude,Longitude,ViewId,Url,Status,Description
1,RWIS (MTO),CR-1,QEW,Unknown,QEW West of Thompson Road,42.9142736713825,-78.9580061508579,1,https://511on.ca/map/Cctv/1,Enabled,Toronto Bound
1,RWIS (MTO),CR-1,QEW,Unknown,QEW West of Thompson Road,42.9142736713825,-78.9580061508579,2,https://511on.ca/map/Cctv/2,Enabled,Looking Down
1,RWIS (MTO),CR-1,QEW,Unknown,QEW West of Thompson Road,42.9142736713825,-78.9580061508579,3,https://511on.ca/map/Cctv/3,Enabled,Fort Erie Bound
2,RWIS (MTO),CR-22,QEW,Unknown,QEW at Welland River Bridge,43.047085,-79.122098,4,https://511on.ca/map/Cctv/4,Enabled,Toronto Bound
2,RWIS (MTO),CR-22,QEW,Unknown,QEW at Welland River Bridge,43.047085,-79.122098,5,https://511on.ca/map/Cctv/5,Enabled,Looking East
2,RWIS (MTO),CR-22,QEW,Unknown,QEW at Welland River Bridge,43.047085,-79.122098,6,https://511on.ca/map/Cctv/6,Enabled,Fort Erie Bound
4,RWIS (MTO),CR-8,QEW,Unknown,QEW at Burlington Skyway,43.30917,-79.803,10,https://511on.ca/map/Cctv/10,Enabled,Fort Erie Bound
4,RWIS (MTO),CR-8,QEW,Unknown,QEW at Burlington Skyway,43.30917,-79.803,11,https://511on.ca/map/Cctv/11,Enabled,Looking Down
4,RWIS (MTO),CR-8,QEW,Unknown,QEW at Burlington Skyway,43.30917,-79.803,12,https://511on.ca/map/Cctv/12,Enabled,Toronto Bound
5,RWIS (MTO),CR-13,QEW,Unknown,QEW near Mississauga Road (2),43.550471,-79.617523,13,https://511on.ca/map/Cctv/13,Enabled,Toronto Bound
5,RWIS (MTO),CR-13,QEW,Unknown,QEW near Mississauga Road (2),43.550471,-79.617523,14,https://511on.ca/map/Cctv/14,Enabled,Looking Down
5,RWIS (MTO),CR-13,QEW,Unknown,QEW near Mississauga Road (2),43.550471,-79.617523,15,https://511on.ca/map/Cctv/15,Enabled,Fort Erie Bound
6,RWIS (MTO),WR-15,Highway 3,Unknown,Highway 3 at Pulford Street,42.25708,-83.038234,16,https://511on.ca/map/Cctv/16,Enabled,Looking North
6,RWIS (MTO),WR-15,Highway 3,Unknown,Highway 3 at Pulford Street,42.25708,-83.038234,17,https://511on.ca/map/Cctv/17,Enabled,Looking South
6,RWIS (MTO),WR-15,Highway 3,Unknown,Highway 3 at Pulford Street,42.25708,-83.038234,18,https://511on.ca/map/Cctv/18,Enabled,Looking Down
7,RWIS (MTO),WR-35,Highway 3,Unknown,Highway 3 at Morse Road,42.06727,-82.6191833,19,https://511on.ca/map/Cctv/19,Enabled,Looking East
7,RWIS (MTO),WR-35,Highway 3,Unknown,Highway 3 at Morse Road,42.06727,-82.6191833,20,https://511on.ca/map/Cctv/20,Enabled,Looking Down
7,RWIS (MTO),WR-35,Highway 3,Unknown,Highway 3 at Morse Road,42.06727,-82.6191833,21,https://511on.ca/map/Cctv/21,Enabled,Looking West
8,RWIS (MTO),WR-16,Highway 3,Unknown,Highway 3 at County Road 41,42.838851,-80.343203,22,https://511on.ca/map/Cctv/22,Enabled,Looking West
8,RWIS (MTO),WR-16,Highway 3,Unknown,Highway 3 at County Road 41,42.838851,-80.343203,23,https://511on.ca/map/Cctv/23,Enabled,Looking East
8,RWIS (MTO),WR-16,Highway 3,Unknown,Highway 3 at County Road 41,42.838851,-80.343203,24,https://511on.ca/map/Cctv/24,Enabled,Looking Down
9,RWIS (MTO),WR-36,Highway 3,Unknown,Highway 3 East of Dairy Side Road,42.968265,-79.777511,25,https://511on.ca/map/Cctv/25,Enabled,Looking East
9,RWIS (MTO),WR-36,Highway 3,Unknown,Highway 3 East of Dairy Side Road,42.968265,-79.777511,26,https://511on.ca/map/Cctv/26,Enabled,Looking South
9,RWIS (MTO),WR-36,Highway 3,Unknown,Highway 3 East of Dairy Side Road,42.968265,-79.777511,27,https://511on.ca/map/Cctv/27,Enabled,Looking West
10,RWIS (MTO),CR-7,Highway 3,Unknown,Highway 3 near Ostryhon Corners,42.89118,-79.36625,28,https://511on.ca/map/Cctv/28,Enabled,Looking South
