ID,SourceId,Organization,RoadwayName,DirectionOfTravel,Description,Reported,LastUpdated,StartDate,PlannedEndDate,LanesAffected,Latitude,Longitude,LatitudeSecondary,LongitudeSecondary,EventType,IsFullClosure,Comment,EncodedPolyline,Recurrence,RecurrenceSchedules,LinkId
391,2023-2013-835660572,MTO-constructions,QEW,Eastbound,"Expect delays up to 5 minutes.
 Evans Avenue Underpass at Queen Elizabeth Way and The Queensway Underpass at Highway 427, Etobicoke Creek, Snelgrove Creek, Caledon
 From June 12th 2024 until July 31st 2025. Lane closure Highway 427 - Queensway in both directions. 3 Lanes at North side of The Queensway over Highway 427. The traffic will be limited to 2 lanes in each direction at The Queensway between Sherway Gardens Road and The East Mall.
 
 August 08, 2025 - August 15, 2025",2023-04-17T04:00:00+00:00,2025-08-07T13:12:02+00:00,2023-04-17T04:00:00+00:00,2025-07-31T04:00:00+00:00,No Data,43.609160498423,-79.5548309037269,,,roadwork,False,"August 08, 2025 - August 15, 2025",gldiGt`qdN,,,133793885
392,2023-2015-1148345919,MTO-constructions,401,Westbound,"Expect delays up to 10 minutes.
 Highway 401 Westbound Express from East of Jane Street to East of Yonge Street
 1. 401 Westbound Express - Avenue Road- Jane Street. Nightly Full Closures July 7- 12 Monday- Thursday: 21:00 - 05:00 Friday: 22:00- 08:00 2. Off-Ramp from  Highway 401 Westbound Express to Allen Road Northbound/Southbound to Nightly Ramp Closures July 07- 12, 2025 Monday- Thursday: 21:00 - 05:00 Friday: 22:00- 08:00 3. On-Ramp from Allen Road Northbound/Southbound to Highway 401 Westbound Express Nightly Ramp Closures  July 7- 12 Monday- Thursday: 21:00 - 05:00 Friday: 22:00- 08:00 4. Collector to Express Transfer at Jane Street Nightly Full Closures  July 7- 12 Monday- Thursday: 21:00 - 05:00 Friday: 22:00- 08:00 5. Express to Collector Transfer at Jane Street  Nightly Full Closures  July 7- 12 Monday- Thursday: 21:00 - 05:00 Friday: 22:00- 08:00 6. Collector to Express Transfer at Allen Road Nightly Full Closures July 7- 12 Monday- Thursday: 21:00 - 05:00 Friday: 22:00- 08:00 7. Express to Collector Transfer at Jane Street Nightly Full Closures July 7- 12 Monday- Thursday: 21:00 - 05:00 Friday: 22:00- 08:00 8. 401 Westbound Collector -  Bayview Avenue - Allen Road Sunday Night Full Closure July 06, 2025 Sunday (23:00 - 05:00)
 
 August 08, 2025 - August 15, 2025",2023-04-24T04:00:00+00:00,2025-08-07T13:13:12+00:00,2023-04-24T04:00:00+00:00,2025-07-18T04:00:00+00:00,No Data,43.7536065,-79.4083718999999,,,roadwork,False,"August 08, 2025 - August 15, 2025",as`jGhmtcNJPNZjJvP|HlNZh@Vb@`@l@`@h@X\l@p@fB|AVRp@l@p@h@VTr@h@XTp@h@`EjD`AjAj@v@fAbB\l@b@z@dAdBhExHnEdIDJ??lAtBtJnQxNpY`@v@jGjMVf@?@^t@bJ`RvIpQ`@`A^`A\dA`@tAZhAr@pCXrAN~@XdBpBvO?@??bBpMJ|@hIhn@n@fF@F??nE|\tCrTnCrTZbC\bCf@lDjAlHjB~LtGnb@@DFZtDfVf@|Cd@~Cf@|Cb@~CVrATrA`@jC^nC\nC`@xD,,,755949653
394,2022-2022-43156276,MTO-constructions,427,Southbound,"Expect delays up to 10 minutes.
 
 Expect 10 minutes of delay. Lane 1 on Highway 48 Southbound is closed from 540 metres east to 150 metres east of the Riverview Beach Road/Highway 48 intersection, with the closure implemented using Temporary Concreate Barriers. Traffic light signal are in operation. The total available lane width through this section is 4 metres.
 
 August 08, 2025 - August 15, 2025",2023-04-07T04:00:00+00:00,2025-08-07T13:04:54+00:00,2023-04-07T04:00:00+00:00,2025-11-28T05:00:00+00:00,No Data,43.6765865985754,-79.5921570736636,,,roadwork,False,"August 08, 2025 - August 15, 2025",uqqiG~ixdN,,,29573020
395,2022-2017-809023677,MTO-constructions,400,N/A,"Expect delays up to 15 minutes.
 Highway  400 - South of King Road (11+850) to north of Canal Road (26+100)
 The work zone is delineated with Temporary Construction Barrier (TCB) and temporary orange pavement markings. 80 Kilometres per hour speed limit in effect. Until November 2025
 
 August 08, 2025 - August 15, 2025",2022-05-11T04:00:00+00:00,2025-08-07T13:04:28+00:00,2022-05-11T04:00:00+00:00,2025-12-05T05:00:00+00:00,No Data,43.9205568869433,-79.5660099009156,,,roadwork,False,"August 08, 2025 - August 15, 2025",ofakGpfsdNoUjDkAPiIlA_LbB{u@~KoG~@}KbBkBVqWzD_C^cFr@gTbDaIhAs`@`Gyb@pGcEj@i]fFqO|BsMnByYjEcC`@mDf@aEl@}Cd@kLdB_Dd@yDj@m^nFuQlCwATyARgBXmDl@eAReIhBgYvGe[lHa^jIeN~CyE`A}I|A{B`@aN~BaU~DwB\uEz@s@LcRbDoHpAC?,,,29602591
396,2022-2013-1039858069,MTO-constructions,401,Eastbound,"Expect delays up to 30 minutes.
 Highway 401 Eastbound  Collector Avenue Road to Warden Avenue
 August 1st to 31st, 1.Alternating 2 out of 3 lane closure from 23:00 to 7:00 hours from before Highway 404 and Beyond Warden Avenue. Two lanes closed 22:00 to 8:00. 2.  Avenue Road Collector to Express Transfer at Highway 401 East, Closure from 22:00 to 6:00 hours 3. 401 East Express to 404 North/South Closure from 22:00 to 6:00 hours. 4. Alternating 3 out of 4 lane closure from 23:00 to 7:00 hours from before Avenue Road and Beyond highway 404. Two lanes closed starting 22:00 to 8:00.5. Highway 404 North/South Off-ramp from Highway 401 East, Closure from 22:00 to 7:00 hours. 6. YONGE Street North/South Off-ramp from Highway 401 East, Closure from 22:00 to 7:00 hours. 7.LESLIE STREET North On-ramp to Highway 401 East, Closure from 22:00 to 7:00 hours. 8. Highway 404 North/South Off-ramp from highway 401 East Closure from 22:00 to 7:00 hours. 9. BAYVIEW avenue  North/South Off-ramp from highway 401, Closure from 22:00 to 7:00 hours 10.LESLIE STREET North/South Off-ramp from Highway 401 East, Closure from 22:00 to 7:00 hours. 11. BAYVIEW Avenue North/South On-ramp to Highway 401 East, Closure from 22:00 to 7:00 hours 12. YONGE Street  East/West On-ramp to Highway 401 East, Closure from 22:00 to 7:00 hours. 13. WARDEN Avenue North/South On-ramp from 401 East Closure from 22:00 to 7:00 hours 14. WARDEN Avenue North/South Off-ramp from 401 East, Closure from 22:00 to 7:00 hours 15.VICTORIA PARK Avenue North/South Off-ramp from 401 East, Closure from 22:00 to 7:00 hours From August
 
 August 08, 2025 - August 15, 2025",2022-04-04T04:00:00+00:00,2025-08-07T12:45:12+00:00,2022-04-04T04:00:00+00:00,2025-11-26T05:00:00+00:00,No Data,43.7676570534363,-79.3380007525239,,,roadwork,False,"August 08, 2025 - August 15, 2025",{jcjGnufcNFxBB^@^TpIb@xQ^hQ@h@XpKTdKVnOt@bb@ZzTB`A@\v@be@VrN@h@FzBDh@F~BVvFHtALxBDf@Df@Df@Df@JpAJnAf@nFj@nFh@jEnArJvD~YJ|@Fb@?DpEj]`@nC|@tEb@pBn@fC|@|CtAdEJT\`Ah@tA`@~@nApC|@bB`ChEfJdQ|KhSXf@Td@fDdGBHBDFJJPNZjJvP|HlNZh@Vb@`@l@`@h@X\l@p@fB|AVRp@l@p@h@VTr@h@XTp@h@`EjD`AjAj@v@fAbB\l@b@z@dAdBhExHnEdIBF,,,707572303
397,2021-2127-1267923760,MTO-constructions,QEW,N/A,"Expect delays up to 10 minutes.
 Queen Elizabeth Way From East of Cawthra Road to Etobicoke Creek Structure (4.6 kilometres)
 Lane Closure at Queen Elizabeth Way Toronto Bound at Cawthra to Beyond Dixie Road (Right 2 of 3) 10pm to 5am.
 
 August 08, 2025 - August 15, 2025",2022-03-23T04:00:00+00:00,2025-08-07T13:01:36+00:00,2022-03-23T04:00:00+00:00,2026-07-26T04:00:00+00:00,No Data,43.5952593246334,-79.5702679461416,,,roadwork,False,"August 08, 2025 - August 15, 2025",kuaiGdatdN,,,778290517
398,2021-2002-991301780,MTO-constructions,401,C,"Expect delays up to 10 minutes.
 Highway 401/403/410 Interchange
 Fromm August 6 to August 8, 1.Alternating 1 out of 2 lane closure on highway 401 Eastbound express from beyond Mississauga Road. to before Dixie Road. between 23:59 to 05:00 hours. 2. Alternate Nightly Closure on highway 410 Southbound - 401 Eastbound Ramp From 23:00 to 05:00.
 Traffic will be rerouted via Eglinton Avenue to access 403 Eastbound / 410 Northbound, providing access to 401 Eastbound/Westbound
 August 08, 2025 - August 15, 2025",2022-06-15T04:00:00+00:00,2025-08-07T13:01:14+00:00,2022-06-15T04:00:00+00:00,2025-10-24T04:00:00+00:00,No Data,43.6393375033889,-79.6602328460595,,,roadwork,False,"August 08, 2025 - August 15, 2025",{hjiGlseeN,,,1297714514
399,2020-2121-883632141,MTO-constructions,400,Southbound,"Expect delays up to 5 minutes.
 Highway 400 and Innisfil Beach Road
 Highway 400 Southbound will be closed from before Innisfil Beach Road to beyond Innisfil Beach Road From August 05,2025 ,20:00 to August 08,2025, 05:00.
 
 August 08, 2025 - August 15, 2025",2022-04-04T04:00:00+00:00,2025-08-07T12:46:54+00:00,2022-04-04T04:00:00+00:00,2025-10-30T04:00:00+00:00,No Data,44.2850147402867,-79.6795514400012,,,roadwork,False,"August 08, 2025 - August 15, 2025",ilhmGdlieN,,,1180661457
400,2023-2003-827475226,MTO-constructions,400,Northbound,"Expect delays up to 5 minutes.
 Highway 400 Northbound lane at Highway 12 Overpass
 
 
 August 08, 2025 - August 15, 2025",2024-04-12T04:00:00+00:00,2025-08-07T13:10:47+00:00,2024-04-12T04:00:00+00:00,2026-11-01T04:00:00+00:00,No Data,44.7477856048846,-79.7026934321265,,,roadwork,False,"August 08, 2025 - August 15, 2025",uxbpGx|meN,,,837788447
401,2024-2004-148420993,MTO-constructions,401,Both Directions,"Expect delays up to 15 minutes.
 Highway 401 from 500 metres West of Bowmanville Avenue to 500 metres east of Highway 35/115. Highway 35/115 Overpass Bridges Site no. 21X-0165/B1&2
 From July 27 to 28.Highway 401 Eastbound Mainline anticipated closure times, One Lane Closures Monday to Thursday 0:00 to 6:00, 10:00 to 14:00, 20:00 to 23:59, Friday 00:00 to 06:00, Saturday 00:00 to 07:00, 19:00 to 23:59, Sunday 00:00 to 09:00.19:00 to 23:59. Two Lane Closures Monday to Thursday 00:00 to 05:00, 22:00 to 23:00, Friday 00:00 to 05:00, Saturday 00:00 to 05:00, 23:00 to 23:59, Sunday 00:00 to 07:00,22:00 to 23:00 Pavement line markings placed to direct traffic in all lanes. 2. From July 24- 25 Travel Highway 35/115 South to highway 401East ,Anticipated Lane Closures: One Lane/full Closure Monday to Friday 00:00 to 05:00,22:00 to 23:59, Saturday 00:00 to 07:00, 23:00 to 23:59 Sunday 00:00 to 09:00, 23:00 to 23:59 Under Structure. Closures as required 3. From July 25 to 25 Travel highway 401 West to Off Ramp 35/115 North, Anticipated Lane Closures: One Lane Full Closure Monday to Thursday 00:00 to 05:00,22:00 23:59.Friday 00:00 to 005:00, 22:00 to 23:59 Saturday 00:00 to 07:00, 23:00 to 23:59 Sunday 00:00 to 09:00, 23:00 to 23:59.
 
 August 08, 2025 - August 15, 2025",2024-04-02T04:00:00+00:00,2025-08-07T13:26:33+00:00,2024-04-02T04:00:00+00:00,2025-11-14T05:00:00+00:00,No Data,43.9029981124075,-78.6254410217579,,,roadwork,False,"August 08, 2025 - August 15, 2025",wx}jG~o{~M@NFzAhClx@|Bpu@APfAj^n@~ShExxA|AxZz@nJXxCl@hG@@,,,884134963
