LocationDescription,Condition,Visibility,Drifting,Region,RoadwayName,EncodedPolyline,LastUpdated
From Niagara Falls to Vineland,No Report,Good,No,CR - Homer,QEW,uc{eGph|aNKCKA_Ew@_YgF}PyC{Da@sCM}AEgHDyRd@aOVyGJI@oJToU\oEa@_Ca@mAWKAm@KyAYWCoFq@q@CeHPmFz@kLnCkMtAok@pAiHRE?Q@oHRwR^wF\}Dh@kFdAmGpBaF`CaCtA}EpD_@Z_W|UyUnUo@l@eMzL{w@zv@qKtKgFvGwC~EiArBqArCwC|G_@~@gA~C{@vCyBxIyKlb@gCtJ}F~TqId\eGhUu\piAmG|SkAjEk@lDk@jEY|EItBGvWCzPKha@a@|KKfB{AtMuFv^aBpK}Ijl@qHpf@c@xCG^cDhYaE|^{K~`A]dDsA`M{Jb}@IpCIdEFjE?DDpBL|BXpCVlB|@pFjDnRzBfMRdANlAVxDRvE@fCwAl`@?Bm@rQk@tOo@tPu@zPcAfXsCrt@gBhf@OpGCfKLjJ@lD`@jd@Td[d@rh@@lCz@phAJ|XSvHe@hIYjDeB~M_BjH{DdNyQvl@oA`FwAxHw@bF{@pG]dD]rEk@fKSzKCtEB~FJbSNtQD~M,2025-07-14T14:39:06+00:00
From Lewiston / Queenston Bridge to QEW Niagara-on-the-Lake,No Report,Good,No,CR - Homer,405,u~kfGrznaN{AlEOn@OdAU|BIjAAv@?h@@~@Dv@H~@P~AJ`AfRjsAhA~HdAjHdAdF`AlETz@dFlTbDhNn@tClAhETn@`AtBl@hALPn@z@fAnA~AzAjEzERX@Bj@~@lA|Bj@pAr@vBl@bC\hBXtBPdBLbCFdB?hCG~C[pFSbBkAdH_AlFkFj[wJlk@{UfvAc@`D]vCc@|EUvDG|@SrGGnKBbBZtKX|Ir@jUl@pRrAfd@@fAAbDCt@KnASdBMv@_@fB_BvI,2025-07-14T14:39:17+00:00
From Stanley Avenue to Montrose Road - Niagara Falls,No Report,Good,No,CR - Homer,420,mf`fGjhuaN@t@Gpb@Npd@B~D@Ph@fXWjj@g@fJCZCReCnMw@fGFxC@n@@HlA`MP`B@NRlBBP?BFj@Z~DJzBApCSnK,2025-07-14T14:39:19+00:00
From Welland to St.Catharines,No Report,Good,No,CR - Beaverdams,406,odleGxfpbNK?oACkA?]EUKg@WkB_BmAw@s@Uk@K{LkBaAQwFmAoJgB_Fw@{DSmGCmWBiD@_BDy@DaCTkDp@yAd@cBt@uAn@mK|GoFjDqEjBoFfBaCj@eB\mEj@iEVeDFuHJqBLkC^_B`@iBn@gBx@iBhAkAz@}@x@iA`AoAtAoEpFqEtFqH`JkBjB}DlEyB`Co@h@yAv@g@TgA\qAZiATgAF{ADmBCcEHqCAa@Ce@C_QCopCw@iB?{d@MaA@cEFuCHcCNoF`@yu@nJeDRgDF{FEcRS{KGuFKeAAi]Ugc@_@kCEaA?}VUgAG_COwB[aASuA]uAc@sEkBmEoBmIeDiEqBsKmEWMEAiDqBu@g@{DgDcBgBiE}F{G}K}IkNuD}DuAmAwA_A{CoBaCkAmDsAiEgAmBYsDWa@CY?y@CiODuAAyCD_@@o@@kDVgBVcBZw@TcBd@sAh@wCtAmC`BcGvD}BlAo@VcDjAsEtA}NnEoIfCgA^cAb@y@b@aAr@eAfAy@dAaAbBgDdJwEtO{@pBc@t@kDzEm@hAa@bAa@fBMx@WbDAjBJbCNfBX|BBN`@`Bj@bBt@jBhAjBlBtB~BfBlAp@FBbH~D\d@z@vA\x@^vALn@LpABv@?lAMnBoBtMk@nDY`BYtAa@fA{@fBqA`B{CjDeAtAy@pAm@jAUh@}@fCYlAU|Ai@lFCj@AzF@V?h@@PNtSNbLRlPJzLVjX?vBInBMpC]|Bi@nC{@tC]|@o@pAm@hAcArAy@bAe@d@w@n@qBlAiAf@aA\aARqAP}@F_BBeI[wAEkEQ{B?}@DwAPuBd@{An@kBfA{GlFcCbBaAh@iAd@u@Tw@Lw@NmAHiBAkSj@_FLm@D[FA?,2025-07-14T14:39:43+00:00
From Allenport Road to Highway 406,No Report,Good,No,CR - Beaverdams,58,oa}eGpqkbN_d@h@uIwByBq@sS}GiAk@aAw@_AmAkg@yx@cBuBsAsAgA{@_CkAaA_@eAU{AOgKA}INcBBsc@|@cINeFRY?o@bD}@`HKjAOjDEjDAdBKte@AtLAf@B~EIvM@tNEhCFvMJbDpAjPvAhMZvDFzABbABnAChB?hAM~BYjCc@dCc@lB_B`FiCfFeCpEcKlSkAlB}AnBe@f@UVCDm@v@iBzAcBz@y@d@o@PA?MB,2025-07-14T14:39:43+00:00
From Niagara Road 70 - Townline Road to Highway 58 (Thorold),No Report,Good,No,CR - Beaverdams,7186,atcfGn~fbNRbTGbC[hF_AjH_EtR,2025-07-14T14:39:43+00:00
From Highway 406 - Woodlawn Road to Access Rd,No Report,Good,No,CR - Beaverdams,7236,ovpeG|hpbNrCfFpNvVxAjDb@vA`AtDXdB^~C^nGQ`@AnAC`CN\_@dLM~CiAf[UpJGlR,2025-07-14T14:39:43+00:00
From Fort Erie (Rose Hill Road) to Port Colborne (Hwy 140),No Report,Good,No,CR - Pt Colborne,3,qvzdGh{`aNLtKPnN@fCLhJFpGFtD?rBBhDCfKKpi@Iz`BDdQDfT@~BJl]?fDHxYHtSDzGDlF@~@?`EAlD@pT?zENvORr]B|ABjCJhFNhGFfF?v@BfAJlCL~DLjDR~GLpFHlCJdFDnABnABxA@fA@x@?|A@lF@nOBpUFj[JrEfDniAHjDDrC@v@@dA@bC?lHBfIBhAB`AF|@JnANhAN~@Nx@Nt@T|@X`A^dA^`Ad@~@h@~@\h@f@p@VZZ\p@r@vDrDlVfUzAxAh@h@z@jAX`@\j@Td@Xf@Tf@Rf@Vp@f@bBPr@Np@Nr@Hh@Hp@Jt@Ft@Fp@Dp@Bt@Bz@?v@@t@?~u@@b[ApX?pBAxG@ly@?jI@rN@t^?xE@~B?bNBfT@rO@xF@bK@xF@hJBnW?nA@bA?nABh[CjA?h@GzAEp@KlAE`@Gd@Kl@Ml@If@[zAeAzGk@rDgClQeEbZyAlKkMd~@sMr~@sE~ZGj@Gn@En@A`@Cd@AdA?xAAjB?`SK~u@CjH,2025-07-14T14:39:52+00:00
From Port Colborne West Limits to Wainfleet/Dunnville Townline,No Report,Good,No,CR - Pt Colborne,3,ofxdGhn{bN?x@BnL@bH@jF?zB@tKB|MBj^Ff_@Bfz@Bx]@bDL~y@@hDLb{@@~ADfTHne@@~B@hJPns@Blk@?dH@lHi@Hg@Fy@Dg@@q@?uA@oC@{EBwJJ{JHmGDkB@iHBgFDkGBy@@w@B}@DY@yAHaBHgBHm@ByAH{@BuA@_A?}ABmAA}WDqDDsLD{FBcA@iE@oA@[@O?MBOBa@HQFWJWLOH_@VQN_@^QTUZKPYh@KTSj@IVGTERMj@}EdUqAfGOj@IXIROTGJIHQLIDSH}@`@w@ZaA`@u@\_@NWROL]`@qBnC]b@WTUPULUHUFQDk@BY@i@Bk@@oEDkLTcMRiNVgITqGJcLToFJwCFmA@sA?]Aw@GuBSkBSBtDBjGBhDV|e@DzFPn\@`C@V?rAHdOFvIB`EFxH@bCFxIDlFD`HFtIBdBBrAVdKFpCH~C@bA@j@?lMCdQ?|G@|BDbD@xAJ`N@fCDlFB~BF~J@vB@v@Vtg@?rAH|J?rC@nAAl@NbUVjg@@XBrFBlIBzLBvFBtJD|J?X@~BBzDNb^JbU?b@HhUD|IFrK@lDHzJCzCCpAEj@Gh@Kp@Qt@c@tAWl@i@jAg@dA}AlDg@rAe@tAk@dBMd@Ml@Kj@Ip@Gn@Eh@ObC]|EQpCCn@Cf@Cb@Af@P`HH`C@`@HbCDrABd@Dj@Df@,2025-07-14T14:39:52+00:00
From Highway 3 - Port Colborne to Welland,No Report,Good,No,CR - Pt Colborne,140,_czdGhorbN}DPig@pBaJZaEKoB]uCaAgH{DsnAgw@eKiGmfAkq@oa@uVsH_DuAi@wS{GsKwBsb@wEsHq@oAMcIeAey@aJ{R{AqJMcn@`Asq@d@kHB,2025-07-14T14:39:52+00:00
